id,highway,cycleway,name,surface,geometry
way/4489210,secondary,track,Goerzallee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2735279, 52.4098837], [13.2737539, 52.4099686], [13.2740012, 52.4100675], [13.2741973, 52.4101622], [13.274321, 52.4102325], [13.274439, 52.4103051], [13.2745183, 52.4103656], [13.2745895, 52.4104282], [13.2746717, 52.4105077], [13.2747441, 52.4105952], [13.2748791, 52.4107643], [13.2750482, 52.4109742], [13.2754766, 52.4115153], [13.2755376, 52.4115958], [13.2755799, 52.4116485], [13.2756568, 52.4117492], [13.2761732, 52.4124098], [13.2762306, 52.4124854], [13.2763096, 52.4125939], [13.2763359, 52.412631], [13.2763627, 52.4126668], [13.2763862, 52.4126991], [13.276598, 52.4129039], [13.2768808, 52.4131132], [13.2770446, 52.4132261], [13.2772766, 52.4133611], [13.2773995, 52.4134325], [13.2776855, 52.4135986], [13.277703, 52.4136087], [13.2780486, 52.4138086], [13.2785449, 52.4141007], [13.2787443, 52.4142123], [13.2787964, 52.4142423], [13.2789831, 52.4143498], [13.2790771, 52.414404], [13.2792777, 52.4145194], [13.2797066, 52.4147718], [13.2800022, 52.4149457], [13.2810812, 52.4155788], [13.2816894, 52.4159356], [13.2820536, 52.4161505], [13.2821135, 52.4161858], [13.2822674, 52.4162878], [13.2824358, 52.4163916], [13.2826604, 52.41653]]}"
way/4492013,residential,opposite,Fasanenstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3273965, 52.5026223], [13.3273608, 52.5023623], [13.3273307, 52.5021382], [13.3271641, 52.501048], [13.3271262, 52.5007919], [13.3270759, 52.5004538], [13.3270569, 52.5003266], [13.3270503, 52.500291], [13.3270432, 52.500235]]}"
way/4500110,residential,opposite,Mansfelder Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3123748, 52.4885405], [13.3122305, 52.4885789], [13.3118808, 52.4886719], [13.3114323, 52.4888231], [13.3110663, 52.4889857], [13.3110113, 52.4890154], [13.3107225, 52.4891716], [13.3106203, 52.4892269]]}"
way/4515858,tertiary,track,Knobelsdorffstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2766855, 52.5125927], [13.2768719, 52.512602], [13.2769596, 52.5126062], [13.2808376, 52.512797], [13.2811046, 52.5128114], [13.2811374, 52.5128132]]}"
way/4515867,tertiary,track,Platanenallee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2669648, 52.5142422], [13.2670981, 52.5142188], [13.2684775, 52.5139766], [13.2699371, 52.5137184], [13.270752, 52.5135783], [13.2730634, 52.513181], [13.2750924, 52.5128048], [13.2753726, 52.5127614]]}"
way/4515877,residential,opposite,Leistikowstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.267701, 52.5123054], [13.267717, 52.5123352], [13.2679258, 52.5127848], [13.2684775, 52.5139766]]}"
way/4520015,secondary,track,Königin-Luise-Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2860177, 52.4582936], [13.2858612, 52.4582942], [13.2857052, 52.4583086], [13.2855009, 52.4583408], [13.2840306, 52.45863], [13.2838272, 52.4586701], [13.2835072, 52.4587332], [13.283464, 52.4587417], [13.2834106, 52.4587522], [13.2833105, 52.4587719]]}"
way/4525444,primary,track,Knobelsdorffstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2817628, 52.5128521], [13.2820271, 52.5128691], [13.2822032, 52.5128767], [13.2823792, 52.5128779], [13.2824433, 52.5128745], [13.2825646, 52.5128682], [13.2827155, 52.5128559], [13.2830028, 52.5128188], [13.283224, 52.5127923], [13.2832848, 52.5127872], [13.283445, 52.5127784], [13.2836556, 52.5127756], [13.2838094, 52.5127812], [13.2839671, 52.5127907]]}"
way/4525727,secondary,track,Pallasstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3539781, 52.4947386], [13.3540495, 52.4947335], [13.3541351, 52.4947273], [13.3545089, 52.4947003], [13.3551236, 52.494656], [13.3552492, 52.4946469]]}"
way/4525910,residential,no,Bayerischer Platz,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3405273, 52.4888218], [13.340486, 52.4889911], [13.3404694, 52.4890593], [13.3404211, 52.4892583], [13.3403991, 52.4893379], [13.3403797, 52.4893935], [13.3403596, 52.4894272], [13.3403257, 52.4894658], [13.3402829, 52.4894998]]}"
